seed,fold,participant_id,role
42,1,01,test
42,1,02,train
42,1,03,train
42,1,04,train
42,1,05,train
42,1,06,train
42,1,07,train
42,1,08,train
42,1,09,test
42,1,10,test
42,1,11,train
42,1,12,train
42,1,13,train
42,1,14,train
42,1,15,train
42,1,16,test
42,1,17,train
42,1,18,test
42,1,19,train
42,1,20,train
42,1,21,train
42,1,22,train
42,1,23,train
42,2,01,train
42,2,02,test
42,2,03,test
42,2,04,train
42,2,05,train
42,2,06,test
42,2,07,train
42,2,08,train
42,2,09,train
42,2,10,train
42,2,11,train
42,2,12,train
42,2,13,test
42,2,14,test
42,2,15,train
42,2,16,train
42,2,17,train
42,2,18,train
42,2,19,train
42,2,20,train
42,2,21,train
42,2,22,train
42,2,23,train
42,3,01,train
42,3,02,train
42,3,03,train
42,3,04,test
42,3,05,test
42,3,06,train
42,3,07,train
42,3,08,train
42,3,09,train
42,3,10,train
42,3,11,train
42,3,12,test
42,3,13,train
42,3,14,train
42,3,15,train
42,3,16,train
42,3,17,train
42,3,18,train
42,3,19,test
42,3,20,train
42,3,21,test
42,3,22,train
42,3,23,train
42,4,01,train
42,4,02,train
42,4,03,train
42,4,04,train
42,4,05,train
42,4,06,train
42,4,07,train
42,4,08,test
42,4,09,train
42,4,10,train
42,4,11,train
42,4,12,train
42,4,13,train
42,4,14,train
42,4,15,train
42,4,16,train
42,4,17,test
42,4,18,train
42,4,19,train
42,4,20,train
42,4,21,train
42,4,22,test
42,4,23,test
42,5,01,train
42,5,02,train
42,5,03,train
42,5,04,train
42,5,05,train
42,5,06,train
42,5,07,test
42,5,08,train
42,5,09,train
42,5,10,train
42,5,11,test
42,5,12,train
42,5,13,train
42,5,14,train
42,5,15,test
42,5,16,train
42,5,17,train
42,5,18,train
42,5,19,train
42,5,20,test
42,5,21,train
42,5,22,train
42,5,23,train
2026,1,01,train
2026,1,02,train
2026,1,03,train
2026,1,04,test
2026,1,05,train
2026,1,06,train
2026,1,07,train
2026,1,08,train
2026,1,09,train
2026,1,10,train
2026,1,11,train
